cust_id,year,state,date_issued,date_final,emp_duration,own_type,income_type,app_type,loan_purpose,interest_payments,grade,annual_pay,loan_amount,interest_rate,loan_duration,dti,total_pymnt,total_rec_prncp,recoveries,installment,is_default
180675,2007,Andhra Pradesh,01/12/07,1032009,10,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,C,73000,25000,10.91, 36 months,22.13,13650.38,8767.32,2207.65,817.41,1
85781,2007,Rajasthan,01/06/07,1072010,0.5,RENT,Low,INDIVIDUAL,other,Low,C,40000,1400,10.91, 36 months,8.61,1663.04,1400,0,45.78,0
85675,2007,Manipur,01/06/07,1062010,10,RENT,Low,INDIVIDUAL,other,High,E,25000,1000,14.07, 36 months,16.27,1231.38,1000,0,34.21,0
84918,2007,Andhra Pradesh,01/09/07,1042008,10,MORTGAGE,Low,INDIVIDUAL,other,Low,A,65000,5000,7.43, 36 months,0.28,5200.44,5000,0,155.38,0
84670,2007,Arunachal Pradesh,01/06/07,1082009,10,MORTGAGE,High,INDIVIDUAL,other,Low,A,300000,5000,7.75, 36 months,5.38,5565.65,5000,0,156.11,0
84098,2007,Chhattisgarh,01/06/07,1012008,9,MORTGAGE,Low,INDIVIDUAL,other,Low,A,66624,2500,7.43, 36 months,10.36,2600.23,2500,0,77.69,0
83979,2007,Mizoram,01/06/07,1012008,1,MORTGAGE,Low,INDIVIDUAL,other,Low,A,80000,3000,7.43, 36 months,0.39,3120.26,3000,0,93.23,0
85818,2007,Gujarat,01/06/07,1042010,0.5,RENT,Low,INDIVIDUAL,other,Low,C,28000,5000,11.22, 36 months,3.51,5858.35,5000,0,164.23,0
83489,2007,Tripura,01/06/07,1032010,3,MORTGAGE,Low,INDIVIDUAL,other,Low,A,6500,2600,8.38, 36 months,6.46,2342.01,1962.69,28.63,81.94,1
81085,2007,Haryana,01/06/07,1082008,3,RENT,Low,INDIVIDUAL,other,Low,C,60000,10500,11.22, 36 months,19.5,11219.8,10500,0,344.87,0
79967,2007,Jharkhand,01/08/07,1082010,0.5,NONE,Low,INDIVIDUAL,other,Low,A,75027,5000,7.43, 36 months,1,5593.46,5000,0,155.38,0
79924,2007,Assam,01/08/07,1082010,0.5,NONE,Low,INDIVIDUAL,other,Low,A,75027,7000,7.75, 36 months,1,7867.53,7000,0,218.55,0
79893,2007,Sikkim,01/07/07,1072010,0.5,NONE,Low,INDIVIDUAL,other,Low,A,75027,6700,7.75, 36 months,1,7530.42,6700,0,209.18,0
77792,2007,Punjab,01/06/07,1072010,0.5,RENT,Low,INDIVIDUAL,other,Low,B,35000,3000,9.01, 36 months,10,3434.97,3000,0,95.42,0
77757,2007,Telangana,01/06/07,1062010,0.5,OWN,Low,INDIVIDUAL,other,Low,B,20000,3000,9.33, 36 months,10,3450.79,3000,0,95.86,0
83185,2007,Manipur,01/06/07,1062010,6,RENT,Low,INDIVIDUAL,other,Low,A,50000,1000,7.12, 36 months,1.1,1113.35,1000,0,30.94,0
98984,2007,Maharashtra,01/07/07,1032010,1,RENT,Low,INDIVIDUAL,debt_consolidation,Low,C,15000,3500,10.91, 36 months,11.52,4138.8,3500,0,114.44,0
99009,2007,Chhattisgarh,01/07/07,1052010,10,MORTGAGE,Medium,INDIVIDUAL,debt_consolidation,Low,A,125000,5750,7.43, 36 months,0.27,6421.5,5750,0,178.69,0
99100,2007,Karnataka,01/07/07,1112008,10,MORTGAGE,Low,INDIVIDUAL,debt_consolidation,Low,D,63000,15600,11.86, 36 months,10.42,4109.63,3074.52,0,265.17,1
